,PSI_S7_x,CO_S7_x,O3_1_S7_x,O3_8_S7_x,O3_S7_x,NO2_S7_x,SO2_S7_x,PM10_S7_x,PM2_5_S7_x,WindSpeed10_x,Temperture_x,Pressure_x
PSI_S7_y,1.0,0.0078,0.1545,0.0054,0.0134,0.0035,0.0186,0.1681,0.0357,0.0,0.1043,0.0021
CO_S7_y,0.0101,1.0,0.0,0.0,0.0,0.089,0.0051,0.0032,0.027,0.164,0.0,0.0
O3_1_S7_y,0.2794,0.0,1.0,0.0,0.0,0.4772,0.0005,0.0185,0.0236,0.1346,0.0,0.0
O3_8_S7_y,0.1171,0.0898,0.0065,1.0,0.0,0.1123,0.0324,0.3237,0.5726,0.0,0.0,0.0
O3_S7_y,0.0822,0.0733,0.0145,0.1151,1.0,0.0443,0.0157,0.2489,0.5989,0.0001,0.0,0.0
NO2_S7_y,0.0033,0.0053,0.2952,0.0385,0.0393,1.0,0.0017,0.0001,0.0039,0.0,0.0001,0.0022
SO2_S7_y,0.0157,0.0,0.0,0.0001,0.0,0.0001,1.0,0.067,0.0545,0.0,0.0,0.0
PM10_S7_y,0.0225,0.0051,0.0624,0.0424,0.0677,0.0,0.0088,1.0,0.0017,0.0,0.0033,0.0031
PM2_5_S7_y,0.317,0.0007,0.0693,0.3022,0.209,0.0014,0.2451,0.004,1.0,0.0,0.0045,0.0
WindSpeed10_y,0.006,0.0194,0.0004,0.0003,0.0,0.0,0.0068,0.0691,0.0315,1.0,0.0,0.0
Temperture_y,0.3658,0.0002,0.0001,0.0,0.0,0.0017,0.0036,0.2237,0.502,0.0,1.0,0.0
Pressure_y,0.0,0.1056,0.0,0.0,0.0,0.001,0.0001,0.002,0.0009,0.0,0.0,1.0
